armRegionName,armSkuName,isPrimaryMeterRegion
southindia,Standard_D14,True
southindia,Standard_D14,True
eastasia,Standard_D64s_v5,True
Evaluation Only. Created with Aspose.Cells for .NET.Copyright 2003 - 2022 Aspose Pty Ltd.
